,0,1,2,3,4,5,6,7,8
177,2010.0,9.0,349545.4,8695.25,358240.65,151048.75,173095.1,324143.85,682384.5
178,2010.0,10.0,333710.15,10614.3,344324.45,170319.25,152326.8,322646.05,666970.5
179,2010.0,11.0,299304.45,13556.25,312860.7,161625.0,138166.0,299791.0,612651.7
180,2011.0,0.0,338606.65,16512.6,355119.25,159050.75,146347.8,305398.55,660517.8
181,2011.0,1.0,275886.5,13276.55,289163.05,150357.0,115392.75,265749.75,554912.8
182,2011.0,2.0,297023.1,15779.75,312802.85,192849.25,95143.9,287993.15,600796.0
183,2011.0,3.0,312359.9,14486.45,326846.35,167448.25,122977.9,290426.15,617272.5
184,2011.0,4.0,360969.25,14158.55,375127.8,184274.5,133531.4,317805.9,692933.7
185,2011.0,5.0,333894.3,15529.0,349423.3,163137.25,128234.05,291371.3,640794.6
186,2011.0,6.0,357667.7,17631.85,375299.55,165135.25,147890.75,313026.0,688325.55
187,2011.0,7.0,376189.55,14687.95,390877.5,184231.5,148061.55,332293.05,723170.55
188,2011.0,8.0,372655.2,10779.7,383434.9,176954.25,145234.7,322188.95,705623.85
189,2011.0,9.0,368842.95,11594.9,380437.85,193547.75,138600.6,332148.35,712586.2
190,2011.0,10.0,354313.1,14025.35,368338.45,195877.75,129892.5,325770.25,694108.7
191,2011.0,11.0,318355.65,14808.6,333164.25,176530.75,139773.7,316034.45,649468.7
192,2012.0,0.0,356394.7,9429.4,365824.1,168427.0,164464.0,332891.0,698715.1
193,2012.0,1.0,254359.6,9099.2,263458.8,164725.25,97469.4,262194.65,525653.45
194,2012.0,2.0,324758.0,13984.0,338742.0,188155.5,123554.75,311710.25,650452.25
195,2012.0,3.0,364555.15,9480.55,374035.7,186838.25,146308.25,333146.5,707182.2
196,2012.0,4.0,370721.75,8852.75,379574.5,185107.5,166670.9,351778.4,731352.9
197,2012.0,5.0,353930.55,9672.9,363603.45,174418.25,158826.25,333244.5,696847.95
198,2012.0,6.0,371859.15,9061.35,380920.5,165581.25,179873.5,345454.75,726375.25
199,2012.0,7.0,360762.1,10828.9,371591.0,164819.0,170259.8,335078.8,706669.8
200,2012.0,8.0,385250.3,8695.8,393946.1,172432.75,178544.3,350977.05,744923.15
201,2012.0,9.0,364881.9,9503.4,374385.3,179810.5,164210.55,344021.05,718406.35
202,2012.0,10.0,288273.5,10486.7,298760.2,145344.0,138877.5,284221.5,582981.7
203,2012.0,11.0,296874.45,8097.25,304971.7,147417.0,135765.5,283182.5,588154.2
204,2013.0,0.0,337428.3,11713.25,349141.55,159257.5,160601.25,319858.75,669000.3
205,2013.0,1.0,318547.0,6958.25,325505.25,156690.75,132762.75,289453.5,614958.75
